url,type,detail
https://immigratetobrazil.com/404.html,canonical differs from final URL,https://immigratetobrazil.com/legal/404/
https://immigratetobrazil.com/404.html,nonreciprocal hreflang,https://immigratetobrazil.com/legal/404/
https://immigratetobrazil.com/404.html,nonreciprocal hreflang,https://immigratetobrazil.com/pt-br/legal/404/
https://immigratetobrazil.com/pt-br/404.html,canonical differs from final URL,https://immigratetobrazil.com/pt-br/legal/404/
https://immigratetobrazil.com/pt-br/404.html,nonreciprocal hreflang,https://immigratetobrazil.com/legal/404/
https://immigratetobrazil.com/pt-br/404.html,nonreciprocal hreflang,https://immigratetobrazil.com/pt-br/legal/404/
https://immigratetobrazil.com/sitemap.html,canonical differs from final URL,https://immigratetobrazil.com/sitemap.html
